"Location","Elevation (m)","Ascent (m)","Descent (m)","Distance (km)","Total Distance (km)","Total Ascent (m)","Total Descent (m)","Notes"
"Schoolhouse Bay Campsite","12","334","427","4.7","1800.7","40357","40493","km 1744.6 | Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1750 km","168","542","386","5.4","1806.2","40899","40879","Queen Charlotte Track"
"1760 km","19","417","566","10","1816.1","41315","41445","Queen Charlotte Track"
"Camp Bay Campsite","19","337","337","6.4","1822.5","41652","41782","km 1766.4 | Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1770 km","295","375","100","3.6","1826.1","42027","41881","Queen Charlotte Track"
"Bay Of Many Coves Campsite","344","319","270","5","1831.1","42346","42151","km 1775.0 | Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1780 km","341","253","256","5","1836.1","42599","42407","Queen Charlotte Track"
"Black Rock Campsite","320","238","260","4.4","1840.5","42838","42667","km 1784.5 | Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"Cowshed Bay Campsite","106","229","442","5.1","1845.7","43066","43109","km 1789.6 | Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pelorus Sound/Te Hoiere and Kenepuru Sound area | Region: Marlborough"
"1790 km","178","76","4","0.4","1846.1","43142","43113","Queen Charlotte Track"
"Eco Village Mistletoe Bay","94","407","491","7.1","1853.2","43549","43604","km 1797.1 | Facilities: Accommodation, camping | Address: Mistletoe Bay Recreation Reserve, Marlborough Sounds | Phone: 021 131 8283 | Website: https://www.mistletoebay.co.nz/ | Categories: RVPark LodgingBusiness"
"1800 km","146","152","100","2.8","1856","43701","43704","Queen Charlotte Track"
"Davies Bay Campsite","5","388","529","6.3","1862.3","44089","44233","km 1806.3 | Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1810 km","2","161","164","3.7","1866.1","44250","44396","Anakiwa to Pelorus Bridge"
"1820 km","8","62","56","9.9","1876","44311","44452","Anakiwa to Pelorus Bridge"
"Havelock Holiday Park","9","589","587","9","1885","44900","45040","km 1829.0 | Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"Havelock","9","0","0","0","1885","44900","45040","km 1829.1 | Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"1830 km","7","8","10","1","1886.1","44908","45050","Anakiwa to Pelorus Bridge"
"1840 km","21","27","13","9.9","1896","44935","45063","Anakiwa to Pelorus Bridge"
"1850 km","40","41","22","10.1","1906","44976","45085","Anakiwa to Pelorus Bridge"
"Pelorus Bridge Campground","46","7","0","0.3","1906.3","44982","45085","km 1850.4 | Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"1860 km","110","247","183","9.7","1916","45230","45268","Pelorus River Track"
"1870 km","184","490","417","10","1926","45720","45685","Pelorus River Track"
"Captains Creek Hut","121","173","236","2.4","1928.3","45893","45920","km 1872.4 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"Middy Creek Hut","158","387","350","4.9","1933.2","46279","46270","km 1877.2 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1880 km","560","404","2","2.8","1936","46683","46272","Pelorus River Track"
"Rocks Hut","808","268","19","1.9","1937.9","46951","46291","km 1882.0 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1890 km","798","363","374","8","1945.9","47314","46665","Pelorus River Track"
"Browning Hut","483","40","355","2.6","1948.5","47354","47020","km 1892.6 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"Hacket Hut","260","76","299","3.3","1951.8","47430","47319","km 1896.0 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1900 km","865","651","46","4.1","1955.9","48081","47365","Richmond Alpine Track"
"Starveall Hut","1192","335","8","1.9","1957.8","48416","47374","km 1901.9 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"Slaty Hut","1388","495","299","5","1962.8","48912","47673","km 1906.8 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1910 km","1381","191","198","3.1","1966","49102","47870","Richmond Alpine Track"
"Mt Rintoul Hut","1251","1009","1138","10.1","1976","50111","49009","km 1919.7 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1920 km","1234","0","18","0.2","1976.2","50111","49026","Richmond Alpine Track"
"Tarn Hut","1020","479","693","8.1","1984.4","50591","49719","km 1928.0 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1930 km","1130","215","105","2","1986.3","50805","49824","Richmond Alpine Track"
"Mid Wairoa Hut","379","103","853","5","1991.3","50908","50678","km 1934.8 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1940 km","607","320","92","5.2","1996.5","51228","50770","Richmond Alpine Track"
"Top Wairoa Hut","858","278","26","1.8","1998.3","51505","50796","km 1941.7 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1950 km","803","685","740","8.4","2006.6","52190","51536","Richmond Alpine Track"
"Hunters Hut","842","117","79","1.9","2008.5","52308","51615","km 1951.9 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"Porters Creek Hut","894","572","520","6.9","2015.4","52879","52134","km 1958.7 | Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1960 km","721","9","183","1.3","2016.7","52888","52317","Richmond Alpine Track"
"Red Hills Hut","904","671","488","10","2026.8","53560","52805","km 1970.0 | Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1970 km","904","0","0","0","2026.8","53560","52805","Richmond Alpine Track"
"1980 km","1001","659","562","10","2036.7","54219","53367","Richmond Alpine Track"
"1990 km","640","55","416","10.1","2046.9","54274","53783","Richmond Alpine Track"
