"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"1334.2","1739","Picton","town","Resupply","Queen Charlotte Track","South","10","0","5.7","12.6","452","465","","","","","","","","","Four Square and FreshChoice on High St. Ferry arrival; off the walking route. Ferry landing; walk resumes at Ship Cove by water taxi."
"1346.9","1726.3","Wellington","town","Resupply","Wellington City","North","6","2","12.6","32.1","500","504","","","","","","","","","Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"1379","1694.2","Camp Elsdon","accommodation","Private","Rangituhi/ Colonial Knob Walk","North","54","32","32.1","1.7","1562","1515","","","","","(04) 237 8987","18 Raiha Street, Porirua","","https://www.campelsdon.co.nz/","Facilities: Accommodation: tent sites, powered caravan/campervan sites, dump station | Address: 18 Raiha Street, Porirua | Phone: (04) 237 8987 | Website: https://www.campelsdon.co.nz/ | Categories: LodgingBusiness"
"1380.7","1692.5","Porirua","town","Resupply","Rangituhi/ Colonial Knob Walk","North","17","16","1.7","24.1","13","50","","","","","","","","","New World, Woolworths and Pak'nSave together, 150 m off trail."
"1404.8","1668.4","Paekakariki","resupply","Resupply","Escarpment Track","North","19","2","24.1","12.1","695","693","","","","","","","","","Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"1416.9","1656.3","Paraparaumu Beach","town","Resupply","Kāpiti Coast","North","2","124","12.1","5.6","64","81","","","","","","","","","Cafes, shops and a small supermarket."
"1422.5","1650.7","El Rancho","caravan-park","Private","Kāpiti Coast","North","11","372","5.6","4.6","22","13","","","","","64 4 902 6287","58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand","","http://www.elrancho.co.nz","Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"1427.1","1646.1","Waikanae","town","Resupply","Pukeatua Track","North","31","203","4.6","25.8","20","0","","","","","","","","","Countdown and New World near the town centre. No backpackers."
"1452.9","1620.3","Boielles Campsite","campsite","DOC","Tararua Ranges","North","100","13","25.8","0.2","1161","1092","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/wellington-k","Category: Standard | Facilities: 15 non powered sites, Toilets (flush), water, cooking shelter | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington"
"1453.1","1620.1","Parawai Lodge","hut","DOC","Tararua Ranges","North","116","95","0.2","9.9","16","0","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d64d2e60b61f42fcad82f349ce48e9d0.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"1463","1610.2","Waitewaewae Hut","hut","DOC","Tararua Ranges","North","299","39","9.9","8.4","747","564","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4e1856fd54044be991707b85d4f9fd0a.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"1471.4","1601.8","Nichols Hut","hut","DOC","Tararua Ranges","North","1199","89","8.4","5.1","1286","387","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6e969bfdc564437bbff66a881b21244d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wairarapa"
"1476.5","1596.7","Dracophyllum Hut","hut","DOC","Tararua Ranges","North","1094","27","5.1","7.4","414","518","","Yes","","Yes","","","","https://www.doc.govt.nz/link/58a79cf633714d24859bbb65e8c23404.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1483.9","1589.3","Te Matawai Hut","hut","DOC","Tararua Ranges","North","890","0","7.4","5.4","528","733","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5df70ad193af40628391da8a78694d4d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1489.3","1583.9","Waiopehu Hut","hut","DOC","Tararua Ranges","North","969","6","5.4","10.8","584","505","","Yes","","Yes","","","","https://www.doc.govt.nz/link/803ae819bc854ab3b30b982adccc0fe9.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1500.1","1573.1","Levin","town","Resupply","Palmerston North to Poads Road","North","111","9000","10.8","7.5","128","986","","","","","","","","","Pak'nSave, New World, Countdown. About 9 km off trail. Leave at Poads Rd."
"1507.6","1565.6","Millblock Campsite","campsite","Private","Palmerston North to Poads Road","North","198","7","7.5","14.3","156","69","","","","","","","","","Facilities: campsite | Categories: Free Campsite"
"1521.9","1551.3","Ian and Franks Hut","hut","Private","Palmerston North to Poads Road","North","300","9","14.3","14.8","713","611","","","","","","","","","Facilities: Free hut | Categories: Free Shelter and Campsite"
"1536.7","1536.5","Moturimu Shelter","hut","Private","Palmerston North to Poads Road","North","357","20","14.8","33.5","951","894","","","","","","","","","Facilities: shelter | Categories: Free Shelter and Campsite"
"1570.2","1503.1","Palmerston North","town","Resupply","Feilding to Palmerston North","North","34","106","33.5","10.4","736","1059","","","","","","","","","Pak'nSave, Woolworths, New World, Bin Inn. Full resupply."
"1580.5","1492.7","Bunnythorpe","food","Resupply","Feilding to Palmerston North","North","54","36","10.4","9","23","3","","","","","","","","","Dairy, takeaway bar and toilets, on trail."
"1589.5","1483.7","Feilding","town","Resupply","Bulls to Feilding","North","70","13","9","20.4","19","3","","","","","","","","","New World, Bin Inn. Friday farmers market. 2-3 km off trail."
"1609.9","1463.3","Bulls Motel and Holiday Park","accommodation","Private","Bulls to Feilding","North","39","24","20.4","1.2","118","149","","","","","(06) 322 0894","2 Bridge Street, Bulls","","https://www.bullsmotel.co.nz/","Facilities: Accommodation: motel, tent sites, powered caravan/campervan sites | Address: 2 Bridge Street, Bulls | Phone: (06) 322 0894 | Website: https://www.bullsmotel.co.nz/ | Categories: Motel LodgingBusiness"
"1611.1","1462.1","Bulls","town","Resupply","Bulls to Feilding","North","46","0","1.2","58.5","7","0","","","","","","","","","Four Square at 114 Bridge St, plus takeaways."
"1669.6","1403.6","Whanganui","town","Resupply","Whanganui River - via Whanganui River","North","20","458","58.5","3.5","135","161","","","","","","","","","New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes. Accepts resupply boxes."
"1673.1","1400.1","Caroline's Outback Camping Ground","food","Private","Whanganui River - via Whanganui River","North","20","21","3.5","3.4","0","0","","","","","(06) 281 3377","181 Somme Parade, Aramoho, Wanganui","","https://nzcamping.com/camp-directory/camp-listing/north-island/whanganui-manawatu/carolines-outback-camping-ground/","Facilities: Bar & restaurant. Campervan park accommodation: tent sites for camping, powered sites for caravans & campervans, dump station | Address: 181 Somme Parade, Aramoho, Wanganui | Phone: (06) 281 3377 | Website: https://nzcamping.com/camp-directory/camp-listing/north-island/whanganui-manawatu/carolines-outback-camping-ground/ | Categories: BarOrPub Restaurant RVPark LodgingBusiness"
"1676.5","1396.7","Wanganui Top 10 Holiday Park","caravan-park","Private","Whanganui River - via Whanganui River","North","20","29","3.4","44.2","0","0","","","","","(06) 343 8402","460 Somme Parade, Upper Aramoho, Wanganui","","http://www.wrivertop10.co.nz","Facilities: Holiday park accommodation, motel units, campground, motorhomes, campervans, tent & powered sites | Address: 460 Somme Parade, Upper Aramoho, Wanganui | Phone: (06) 343 8402 | Website: http://www.wrivertop10.co.nz | Categories: RVPark LodgingBusiness"
"1720.6","1352.6","Downes Hut","hut","DOC","Whanganui River - via Whanganui River","North","21","64","44.2","16.7","28","27","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/e7545c0b272d40de9218b860bd5b2b48.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1737.4","1335.8","Matahiwi","food","Resupply","Whanganui River - via Whanganui River","North","20","325","16.7","22.3","12","13","","","","","","","","","Matahiwi Gallery and Cafe: coffee, cold drinks, local knowledge."
"1759.6","1313.6","Pipiriki","food","Resupply","Whanganui River - via Whanganui River","North","40","190","22.3","9.1","37","18","","","","","","","","","Minimal cafe and shop at the campground. Jetboat transfers."
"1768.7","1304.5","Ngaporo Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","88","130","9.1","12.4","107","59","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/90002a5fb427415a9343553c9a532c84.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1781.2","1292.1","Tīeke Marae/kāinga Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","42","4","12.4","0","173","219","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/e7bbf631c06c4ae58cfd5bf5d7e9dd28.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1781.2","1292","Tīeke Marae/kāinga","hut","DOC","Whanganui River - via Whanganui River","North","42","26","0","8.5","0","0","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/2da1ed56c192451b95ece33630dcf982.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1789.7","1283.6","Mangawaiiti Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","61","5110","8.5","1.8","65","46","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/64b830dec8014bbdb66d1fa4baea3c43.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1791.4","1281.8","Mangapurua Campsite","campsite","DOC","National Park to Whanganui River","North","63","85","1.8","6.4","4","2","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/02535ee3e5cf478ea06216ae3d97d2c9.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1797.8","1275.4","John Coull Campsite","campsite","DOC","National Park to Whanganui River","North","132","5500","6.4","0","416","346","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/851b887589be46b89cf9ac49284cbfad.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1797.8","1275.4","John Coull Hut","hut","DOC","National Park to Whanganui River","North","132","5556","0","5.2","0","0","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/050de1dd02ec4a3a80cc853c77b22706.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1803","1270.2","Bettjemann Campsite","campsite","DOC","National Park to Whanganui River","North","191","2","5.2","0.4","218","159","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1803.4","1269.9","Ohauora Campsite","campsite","DOC","National Park to Whanganui River","North","202","4821","0.4","3.1","11","0","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/2cd12870c93a4662b1f10f72d8daf6f3.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1806.5","1266.7","Johnsons Campsite","campsite","DOC","National Park to Whanganui River","North","241","42","3.1","6.1","87","49","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: 10 non powered sites, Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1812.5","1260.7","Mangapurua Trig Campsite","campsite","DOC","National Park to Whanganui River","North","622","23","6.1","6.5","472","90","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1819","1254.2","Mosley's Campsite","campsite","DOC","National Park to Whanganui River","North","248","0","6.5","7.7","164","539","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: 10 non powered tent sites | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1826.7","1246.5","Mangapapa Campsite","campsite","DOC","National Park to Whanganui River","North","133","5384","7.7","1.6","190","306","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/6428b51413ae4d68a194f66ed7c1c439.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1828.3","1244.9","Whakahoro Campsite","campsite","DOC","National Park to Whanganui River","North","130","9","1.6","0.2","43","46","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/afc10f759fa74e848e4f7c5643dccee9.aspx","Category: Great Walk | Facilities: Boat launching, Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1828.4","1244.8","Whakahoro","food","Resupply","National Park to Whanganui River","North","120","370","0.2","51.6","1","11","","","","","","","","","Blue Duck Cafe 8am-3pm Thu-Mon. DoC campsite. Blue Duck Station does meals and accommodation. Accepts resupply boxes."
"1880","1193.2","National Park (Waimarino)","resupply","Resupply","National Park to Whanganui River","North","802","393","51.6","7.6","1647","964","","","","","","","","","Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui."
"1887.6","1185.6","Mangahuia Campsite","campsite","DOC","Mangatepopo to National Park","North","881","29","7.6","6.1","94","16","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/2bd99c0658c34f78a0ff0cb38e8928e7.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tongariro National Park | Region: Central North Island"
"1893.7","1179.5","Mangaturuturu Hut","hut","DOC","Mangatepopo to National Park","North","1149","8163","6.1","1.1","289","22","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/7d07c815afab4174a4293e22866cdda4.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1894.8","1178.4","Mangaehuehu Hut","hut","DOC","Mangatepopo to National Park","North","1145","13906","1.1","0","26","29","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/cd5521b4fd8745d4b72c98459a28e09d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1894.8","1178.4","Whakapapaiti Hut","hut","DOC","Mangatepopo to National Park","North","1145","2057","0","0","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/547fba0f237d4b04b58d64c05a1cc4ca.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1894.8","1178.4","Blyth Hut","hut","DOC","Mangatepopo to National Park","North","1145","12186","0","6.1","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0ca39d7f38e045778d4cbd32856e5e8e.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1900.9","1172.3","Whakapapa Holiday Park","caravan-park","Private","Mangatepopo to National Park","North","1146","26","6.1","0.1","229","228","","","","","07 892 3897","Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu","","https://www.whakapapa.net.nz/","Facilities: Holiday park accommodation. DOC conservation campsite, tent sites for camping, powered sites for campervans | Address: Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu | Phone: 07 892 3897 | Website: https://www.whakapapa.net.nz/ | Categories: RVPark LodgingBusiness"
"1901.1","1172.1","Whakapapa Village","food","Resupply","Mangatepopo to National Park","North","1137","15","0.1","10.4","0","9","","","","","","","","","Camp store carries little more than ice blocks and muesli bars. Not a resupply."
"1911.5","1161.7","Rangipo Hut","hut","DOC","Tongariro Alpine Crossing","North","1242","9753","10.4","5.2","342","237","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/eee3692307b0468c91d966cdb1efe516.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Tongariro National Park | Region: Central North Island"
"1916.7","1156.5","Waihohonu Hut","hut","DOC","Tongariro Alpine Crossing","North","1101","12","5.2","0.1","17","157","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/8d2c9df7e97c4a178fcb02057bd891de.aspx","Category: Serviced | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1916.9","1156.4","Waihohonu Campsite","campsite","DOC","Tongariro Alpine Crossing","North","1099","17","0.1","12.5","0","2","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6c7eee2391204afbb9a8716c2a930957.aspx","Category: Serviced | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1929.4","1143.9","Mangatepopo Campsite","campsite","DOC","Tongariro Alpine Crossing","North","1700","5400","12.5","0","888","287","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/164b5dfa7a064b49a369bb556a6de369.aspx","Category: Great Walk | Facilities: Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1929.4","1143.9","Mangatepopo Hut","hut","DOC","Tongariro Alpine Crossing","North","1700","5368","0","56.9","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/3aad802a585e496ba8fdd614ddf1b377.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass (Bookings Required) | Place: Tongariro National Park | Region: Central North Island"
"1986.2","1087","Owhango","food","Resupply","42 Traverse","North","440","457","56.9","26.5","1352","2612","","","","","","","","","Blue Hill Cafe, 8am-2pm."
"2012.7","1060.5","Taumarunui","town","Resupply","42 Traverse","North","172","307","26.5","0.2","397","665","","","","","","","","","New World at the west end. Seriously Outdoors for gear; canoe hire."
"2012.9","1060.3","Taumarunui Holiday Park","caravan-park","Private","42 Traverse","North","174","3402","0.2","26.4","2","0","","","","","0800 473 281","487 Totara Street, Manunui 3946","","http://www.taumarunuiholidaypark.co.nz","Facilities: cabins, camping | Address: 487 Totara Street, Manunui 3946 | Phone: 0800 473 281 | Website: http://www.taumarunuiholidaypark.co.nz | Categories: RVPark LodgingBusiness"
"2039.3","1033.9","Ongarue Campsite","campsite","Private","Pureora Forest - The Timber Trail","North","200","43","26.4","41.8","265","239","","","","","","","","","Facilities: Te Araroa"
"2081","992.2","Piropiro Campsite","campsite","DOC","Pureora Forest - The Timber Trail","North","436","232","41.8","18.9","1005","769","","Yes","","Yes","","","","https://www.doc.govt.nz/link/51c87ce258ed4ce8a0ce520d4646c8d9.aspx","Category: Basic | Facilities: Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"2100","973.2","Bog Inn Hut","hut","DOC","Pureora Forest - The Timber Trail","North","841","532","18.9","17","719","314","","Yes","","Yes","","","","https://www.doc.govt.nz/link/221debd600f74c5d943105d46641ff70.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"2116.9","956.3","Ngaherenga Campsite","campsite","DOC","Pureora Forest - The Timber Trail","North","566","352","17","57.5","382","657","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/28723ae27b854818ab3904932dc22fed.aspx","Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pureora Forest Park | Region: Waikato"
"2174.4","898.8","Te Kūiti","town","Resupply","Te Kūiti to Pureora","North","60","61","57.5","15.6","660","1166","","","","","","","","","New World and SuperValue."
"2190","883.2","Waitomo","resupply","Resupply","Pehitawa Track","North","79","134","15.6","0.1","636","617","","","","","","","","","Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants."
"2190.1","883.1","Waitomo Top 10 Holiday Park","caravan-park","Private","Pirongia to Waitomo","North","64","164","0.1","50.1","0","14","","","","","(07) 878 7639","12 Waitomo Village Road Waitomo Caves Village 3977","9:00am - 8:00pm","http://www.waitomopark.co.nz","Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 12 Waitomo Village Road Waitomo Caves Village 3977 | Phone: (07) 878 7639 | Hours: 9:00am - 8:00pm | Website: http://www.waitomopark.co.nz | Categories: RVPark LodgingBusiness"
"2240.2","833","Pāhautea Hut","hut","DOC","Pirongia Traverse","North","901","13","50.1","0.1","2391","1554","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/63ba58f15d1a4c848010e394df13a84e.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"2240.2","833","Pahautea Hut Campsite","hut","DOC","Pirongia Traverse","North","901","4","0.1","8.3","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/362328c3e2ca47ea88529cbfe15b9d7e.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"2248.5","824.7","Kaniwhaniwha Campsite","campsite","DOC","Pirongia Traverse","North","134","13","8.3","24.9","92","860","","Yes","","Yes","","","","https://www.doc.govt.nz/link/39b29b71a68645bb91a284beb4e8ce9a.aspx","Category: Basic | Facilities: Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pirongia Forest Park | Region: Waikato"
"2273.4","799.8","Whatawhata","food","Resupply","Waipā Walk","North","22","5","24.9","14.3","580","692","","","","","","","","","Petrol station store, gastro pub and village cafe."
"2287.7","785.5","Hamilton","town","Resupply","Hamilton City","North","44","28","14.3","21","91","69","","","","","","","","","Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement."
"2308.7","764.5","Ngaruawahia","town","Resupply","Ngāruawāhia to Hamilton - Te Awa (The River)","North","20","151","21","19.9","41","65","","","","","","","","","New World and cafes."
"2328.6","744.7","Huntly","town","Resupply","Rangiriri to Huntly","North","17","644","19.9","1","837","839","","","","","","","","","Woolworths, about 1 km off trail."
"2329.5","743.7","Huntly Camping & Caravan Park","accommodation","Private","Rangiriri to Huntly","North","14","571","1","40.7","3","6","","","","","07 828 8363","5 Taihua St,Huntly Domain, Huntly","","","Facilities: Accommodation: tent sites, powered caravan/campervan sites, dump station | Address: 5 Taihua St,Huntly Domain, Huntly | Phone: 07 828 8363 | Categories: LodgingBusiness"
