"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Leg crosses","Leg gap km","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"1246.5","1246.5","Mangapapa Campsite","campsite","DOC","National Park to Whanganui River","North","133","5384","1.6","7.7","46","43","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/6428b51413ae4d68a194f66ed7c1c439.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1254.2","1254.2","Mosley's Campsite","campsite","DOC","National Park to Whanganui River","North","248","0","7.7","6.5","306","190","","","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: 10 non powered tent sites | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1260.7","1260.7","Mangapurua Trig Campsite","campsite","DOC","National Park to Whanganui River","North","622","23","6.5","6.1","539","164","","","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1266.7","1266.7","Johnsons Campsite","campsite","DOC","National Park to Whanganui River","North","241","42","6.1","3.1","90","472","","","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: 10 non powered sites, Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1269.9","1269.9","Ohauora Campsite","campsite","DOC","National Park to Whanganui River","North","202","4821","3.1","0.4","49","87","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/2cd12870c93a4662b1f10f72d8daf6f3.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1270.2","1270.2","Bettjemann Campsite","campsite","DOC","National Park to Whanganui River","North","191","2","0.4","5.2","0","11","","","","","","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/manawatu-wha","Category: Backcountry | Facilities: Toilet (non-flush) | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Whanganui National Park | Region: Whanganui"
"1275.4","1275.4","John Coull Hut","hut","DOC","National Park to Whanganui River","North","132","5556","5.2","0","159","218","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/050de1dd02ec4a3a80cc853c77b22706.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1275.4","1275.4","John Coull Campsite","campsite","DOC","National Park to Whanganui River","North","132","5500","0","6.4","0","0","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/851b887589be46b89cf9ac49284cbfad.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1281.8","1281.8","Mangapurua Campsite","campsite","DOC","National Park to Whanganui River","North","63","85","6.4","1.8","346","416","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/02535ee3e5cf478ea06216ae3d97d2c9.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1283.6","1283.6","Mangawaiiti Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","61","5110","1.8","8.5","2","4","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/64b830dec8014bbdb66d1fa4baea3c43.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1292","1292","Tīeke Marae/kāinga","hut","DOC","Whanganui River - via Whanganui River","North","42","26","8.5","0","46","65","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/2da1ed56c192451b95ece33630dcf982.aspx","Category: Great Walk | Facilities: Cooking, Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1292.1","1292.1","Tīeke Marae/kāinga Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","42","4","0","12.4","0","0","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/e7bbf631c06c4ae58cfd5bf5d7e9dd28.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1304.5","1304.5","Ngaporo Campsite","campsite","DOC","Whanganui River - via Whanganui River","North","88","130","12.4","9.1","219","173","","","","Yes","Yes","No","","","","https://www.doc.govt.nz/link/90002a5fb427415a9343553c9a532c84.aspx","Category: Great Walk | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: No | Trail Pass discount (%): 0 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1313.6","1313.6","Pipiriki","food","Resupply","Whanganui River - via Whanganui River","North","40","190","9.1","22.3","59","107","","","","","","","","","","","Minimal cafe and shop at the campground. Jetboat transfers."
"1335.8","1335.8","Matahiwi","food","Resupply","Whanganui River - via Whanganui River","North","20","325","22.3","16.7","18","37","","","","","","","","","","","Matahiwi Gallery and Cafe: coffee, cold drinks, local knowledge."
"1352.6","1352.6","Downes Hut","hut","DOC","Whanganui River - via Whanganui River","North","21","64","16.7","44.2","13","12","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/e7545c0b272d40de9218b860bd5b2b48.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Whanganui National Park | Region: Manawatu/Whanganui"
"1396.7","1396.7","Wanganui Top 10 Holiday Park","caravan-park","Private","Whanganui River - via Whanganui River","North","20","29","44.2","3.4","27","28","","","","","","","(06) 343 8402","460 Somme Parade, Upper Aramoho, Wanganui","","http://www.wrivertop10.co.nz","Facilities: Holiday park accommodation, motel units, campground, motorhomes, campervans, tent & powered sites | Address: 460 Somme Parade, Upper Aramoho, Wanganui | Phone: (06) 343 8402 | Website: http://www.wrivertop10.co.nz | Categories: RVPark LodgingBusiness"
"1400.1","1400.1","Caroline's Outback Camping Ground","food","Private","Whanganui River - via Whanganui River","North","20","21","3.4","3.5","0","0","","","","","","","(06) 281 3377","181 Somme Parade, Aramoho, Wanganui","","https://nzcamping.com/camp-directory/camp-listing/north-island/whanganui-manawatu/carolines-outback-camping-ground/","Facilities: Bar & restaurant. Campervan park accommodation: tent sites for camping, powered sites for caravans & campervans, dump station | Address: 181 Somme Parade, Aramoho, Wanganui | Phone: (06) 281 3377 | Website: https://nzcamping.com/camp-directory/camp-listing/north-island/whanganui-manawatu/carolines-outback-camping-ground/ | Categories: BarOrPub Restaurant RVPark LodgingBusiness"
"1403.6","1403.6","Whanganui","town","Resupply","Whanganui River - via Whanganui River","North","20","458","3.5","58.5","0","0","","","","","","","","","","","New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes. Accepts resupply boxes."
"1462.1","1462.1","Bulls","town","Resupply","Bulls to Feilding","North","46","0","58.5","1.2","161","135","","","","","","","","","","","Four Square at 114 Bridge St, plus takeaways."
"1463.3","1463.3","Bulls Motel and Holiday Park","accommodation","Private","Bulls to Feilding","North","39","24","1.2","20.4","0","7","","","","","","","(06) 322 0894","2 Bridge Street, Bulls","","https://www.bullsmotel.co.nz/","Facilities: Accommodation: motel, tent sites, powered caravan/campervan sites | Address: 2 Bridge Street, Bulls | Phone: (06) 322 0894 | Website: https://www.bullsmotel.co.nz/ | Categories: Motel LodgingBusiness"
"1483.7","1483.7","Feilding","town","Resupply","Bulls to Feilding","North","70","13","20.4","9","149","118","","","","","","","","","","","New World, Bin Inn. Friday farmers market. 2-3 km off trail."
"1492.7","1492.7","Bunnythorpe","food","Resupply","Feilding to Palmerston North","North","54","36","9","10.4","3","19","","","","","","","","","","","Dairy, takeaway bar and toilets, on trail."
"1503.1","1503.1","Palmerston North","town","Resupply","Feilding to Palmerston North","North","34","106","10.4","33.5","3","23","","","","","","","","","","","Pak'nSave, Woolworths, New World, Bin Inn. Full resupply."
"1536.5","1536.5","Moturimu Shelter","hut","Private","Palmerston North to Poads Road","North","357","20","33.5","14.8","1059","736","","","","","","","","","","","Facilities: shelter | Categories: Free Shelter and Campsite"
"1551.3","1551.3","Ian and Franks Hut","hut","Private","Palmerston North to Poads Road","North","300","9","14.8","14.3","894","951","","","","","","","","","","","Facilities: Free hut | Categories: Free Shelter and Campsite"
"1565.6","1565.6","Millblock Campsite","campsite","Private","Palmerston North to Poads Road","North","198","7","14.3","7.5","611","713","","","","","","","","","","","Facilities: campsite | Categories: Free Campsite"
"1573.1","1573.1","Levin","town","Resupply","Palmerston North to Poads Road","North","111","9000","7.5","10.8","69","156","","","","","","","","","","","Pak'nSave, New World, Countdown. About 9 km off trail. Leave at Poads Rd."
"1583.9","1583.9","Waiopehu Hut","hut","DOC","Tararua Ranges","North","969","6","10.8","5.4","986","128","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/803ae819bc854ab3b30b982adccc0fe9.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1589.3","1589.3","Te Matawai Hut","hut","DOC","Tararua Ranges","North","890","0","5.4","7.4","505","584","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5df70ad193af40628391da8a78694d4d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1596.7","1596.7","Dracophyllum Hut","hut","DOC","Tararua Ranges","North","1094","27","7.4","5.1","733","528","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/58a79cf633714d24859bbb65e8c23404.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington/Kapiti"
"1601.8","1601.8","Nichols Hut","hut","DOC","Tararua Ranges","North","1199","89","5.1","8.4","518","414","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6e969bfdc564437bbff66a881b21244d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wairarapa"
"1610.2","1610.2","Waitewaewae Hut","hut","DOC","Tararua Ranges","North","299","39","8.4","9.9","387","1286","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4e1856fd54044be991707b85d4f9fd0a.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"1620.1","1620.1","Parawai Lodge","hut","DOC","Tararua Ranges","North","116","95","9.9","0.2","564","747","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d64d2e60b61f42fcad82f349ce48e9d0.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ōtaki Forks area | Region: Wellington/Kapiti"
"1620.3","1620.3","Boielles Campsite","campsite","DOC","Tararua Ranges","North","100","13","0.2","25.8","0","16","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/parks-and-recreation/places-to-go/wellington-k","Category: Standard | Facilities: 15 non powered sites, Toilets (flush), water, cooking shelter | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Tararua Forest Park | Region: Wellington"
"1646.1","1646.1","Waikanae","town","Resupply","Pukeatua Track","North","31","203","25.8","4.6","1092","1161","","","","","","","","","","","Countdown and New World near the town centre. No backpackers."
"1650.7","1650.7","El Rancho","caravan-park","Private","Kāpiti Coast","North","11","372","4.6","5.6","0","20","","","","","","","64 4 902 6287","58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand","","http://www.elrancho.co.nz","Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"1656.3","1656.3","Paraparaumu Beach","town","Resupply","Kāpiti Coast","North","2","124","5.6","12.1","13","22","","","","","","","","","","","Cafes, shops and a small supermarket."
"1668.4","1668.4","Paekakariki","resupply","Resupply","Escarpment Track","North","19","2","12.1","24.1","81","64","","","","","","","","","","","Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"1692.5","1692.5","Porirua","town","Resupply","Rangituhi/ Colonial Knob Walk","North","17","16","24.1","1.7","693","695","","","","","","","","","","","New World, Woolworths and Pak'nSave together, 150 m off trail."
"1694.2","1694.2","Camp Elsdon","accommodation","Private","Rangituhi/ Colonial Knob Walk","North","54","32","1.7","32.1","50","13","","","","","","","(04) 237 8987","18 Raiha Street, Porirua","","https://www.campelsdon.co.nz/","Facilities: Accommodation: tent sites, powered caravan/campervan sites, dump station | Address: 18 Raiha Street, Porirua | Phone: (04) 237 8987 | Website: https://www.campelsdon.co.nz/ | Categories: LodgingBusiness"
"1726.3","1726.3","Wellington","town","Resupply","Wellington City","North","6","2","32.1","12.6","1515","1562","","","","","","","","","","","Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"1739","1739","Picton","town","Resupply","Queen Charlotte Track","South","10","0","12.6","5.7","504","498","Te Moana O Raukawa","52.7","","","","","","","","","Four Square and FreshChoice on High St. Ferry arrival; off the walking route. Ferry landing; walk resumes at Ship Cove by water taxi."
"1744.6","1744.6","Schoolhouse Bay Campsite","campsite","DOC","Queen Charlotte Track","South","24","2","5.7","21.8","465","452","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/dd981b90ab7c419ab90e3d4aea0e7a20.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1766.4","1766.4","Camp Bay Campsite","campsite","DOC","Queen Charlotte Track","South","19","36","21.8","8.6","1284","1288","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/b83c41525a7e44f5a68e43f3dba66806.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1775","1775","Bay Of Many Coves Campsite","campsite","DOC","Queen Charlotte Track","South","344","2","8.6","9.5","694","369","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/dc39330f148546d3a7cc520648aa478b.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1784.5","1784.5","Black Rock Campsite","campsite","DOC","Queen Charlotte Track","South","321","87","9.5","5.1","492","516","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/249c17cb99de4df78352abfc0bf90251.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1789.6","1789.6","Cowshed Bay Campsite","campsite","DOC","Queen Charlotte Track","South","106","319","5.1","7.5","227","442","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/871fc80fc80643bda32c8c92d357f503.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Pelorus Sound/Te Hoiere and Kenepuru Sound area | Region: Marlborough"
"1797.1","1797.1","Eco Village Mistletoe Bay","caravan-park","Private","Queen Charlotte Track","South","94","365","7.5","5.5","483","495","","","","","","","021 131 8283","Mistletoe Bay Recreation Reserve, Marlborough Sounds","","https://www.mistletoebay.co.nz/","Facilities: Accommodation, camping | Address: Mistletoe Bay Recreation Reserve, Marlborough Sounds | Phone: 021 131 8283 | Website: https://www.mistletoebay.co.nz/ | Categories: RVPark LodgingBusiness"
"1802.6","1802.6","Picton Holiday Park","caravan-park","Private","Queen Charlotte Track","South","189","6131","5.5","0","295","200","","","","","","","03 573 7212","5 Waimarama Street Picton 7220","","https://tasmanholidayparks.com/nz/picton/","Facilities: Holiday park, campground, motorhomes, campervans, tent sites for camping | Address: 5 Waimarama Street Picton 7220 | Phone: 03 573 7212 | Website: https://tasmanholidayparks.com/nz/picton/ | Categories: RVPark LodgingBusiness"
"1802.6","1802.6","Alexanders Holiday Park","accommodation","Private","Queen Charlotte Track","South","189","6464","0","3.7","0","0","","","","","","","(03) 573 6378","2 Canterbury Street, Picton","","https://www.alexanderspicton.co.nz/","Facilities: Accommodation: cabins, tent sites powered and unpowered, caravans, campervans, dump station | Address: 2 Canterbury Street, Picton | Phone: (03) 573 6378 | Website: https://www.alexanderspicton.co.nz/ | Categories: LodgingBusiness"
"1806.3","1806.3","Davies Bay Campsite","campsite","DOC","Queen Charlotte Track","South","5","144","3.7","22.7","245","429","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/fbe583efe8904b569a3a4fd59a5dd501.aspx","Category: Backcountry | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Queen Charlotte Sound/Tōtaranui area | Region: Marlborough"
"1829","1829","Havelock Holiday Park","accommodation","Private","Anakiwa to Pelorus Bridge","South","9","17","22.7","0.1","811","807","","","","","","","021 082 67068","24 Inglis Street, Havelock","","https://www.havelockholidaypark.kiwi/#/","Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"1829.1","1829.1","Havelock","town","Resupply","Anakiwa to Pelorus Bridge","South","13","51","0.1","21.4","5","0","","","","","","","","","","","Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"1850.4","1850.4","Pelorus Bridge Campground","campsite","DOC","Pelorus River Track","South","68","385","21.4","22","100","45","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/13f853ce73b8447eb57ed9fe85c33d6e.aspx","Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"1872.4","1872.4","Captains Creek Hut","hut","DOC","Pelorus River Track","South","121","70","22","4.8","888","836","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/24384e1bdf7544549153aef93ce5f7dc.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1877.2","1877.2","Middy Creek Hut","hut","DOC","Pelorus River Track","South","158","23","4.8","4.8","387","350","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6a16800d8ec84e2cab775a8146096246.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1882","1882","Rocks Hut","hut","DOC","Pelorus River Track","South","810","5","4.8","10.7","673","21","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/023da8553a7f49fa849a4cdbae8e806c.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1892.6","1892.6","Browning Hut","hut","DOC","Pelorus River Track","South","481","2","10.7","2.4","402","730","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4ba6f86f2030455e9a60bae6f4744ed8.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1895","1895","Nelson","town","Resupply","Richmond Alpine Track","South","267","29000","2.4","1","28","243","","","","","","","","","","","Supermarkets, outdoor shops, backpackers. About 29 km off trail from Hacket car park. Leave at the Hacket car park, start of the Richmond Alpine Track."
"1896","1896","Hacket Hut","hut","DOC","Richmond Alpine Track","South","260","3","1","5.9","48","55","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8a7754d26feb413ea177fa006ce6ec5b.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1901.9","1901.9","Starveall Hut","hut","DOC","Richmond Alpine Track","South","1187","83","5.9","4.9","986","59","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8b403b57449f4588b55ea676a01d47b4.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1906.8","1906.8","Slaty Hut","hut","DOC","Richmond Alpine Track","South","1388","10","4.9","8.1","495","294","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/dfc191ebf2a14b208aa546f836240b40.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1915","1915","Old Man Hut","hut","DOC","Richmond Alpine Track","South","1316","613","8.1","4.8","520","592","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d9248299483640cda4dc33f1d497f33d.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1919.7","1919.7","Mt Rintoul Hut","hut","DOC","Richmond Alpine Track","South","1236","3","4.8","8.3","679","759","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/bc782d530e4a4aed90ba579583b4d861.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1928","1928","Tarn Hut","hut","DOC","Richmond Alpine Track","South","1020","9","8.3","6.8","480","695","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d7d5f551bb584272bea9a9177d59927c.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Marlborough"
"1934.8","1934.8","Mid Wairoa Hut","hut","DOC","Richmond Alpine Track","South","379","5","6.8","6.9","318","959","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/1c5a5813e29545cd88584224df3513c1.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1941.7","1941.7","Top Wairoa Hut","hut","DOC","Richmond Alpine Track","South","858","13","6.9","10.2","597","119","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c87b1791147e451fb37c99bf5891a03f.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1951.9","1951.9","Hunters Hut","hut","DOC","Richmond Alpine Track","South","842","6","10.2","6.8","803","819","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4779357f75c645358c4c23ab4017f2b2.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
